epoch,g_loss,d_loss,time_s
260,145.9703,-70.3834,4.9
261,45.2875,-61.2909,4.9
262,67.1404,-83.8523,5.0
263,94.5500,-52.2497,5.0
264,100.8256,-58.0057,5.0
265,44.6633,-54.5493,5.0
266,37.3536,-50.0361,5.0
267,93.7846,-65.0064,4.9
268,110.4672,-89.6095,5.0
269,149.9836,-82.7762,4.9
270,111.3121,-70.8815,5.0
271,97.9939,-61.7920,4.9
272,95.1670,-84.3625,4.9
273,158.1906,-58.7211,5.0
274,84.7303,-71.3777,5.0
275,-8.0120,-79.7141,4.9
276,111.2608,-66.5307,5.4
277,62.0250,-53.8449,5.0
278,102.1110,-68.8413,5.0
279,53.3371,-98.7078,4.9
280,166.9054,-46.4066,5.0
281,81.9015,-82.5281,4.9
282,31.6442,-56.4882,4.9
283,47.9693,-65.0542,4.9
284,30.4782,-75.8064,4.9
285,99.5040,-67.3679,4.9
286,39.4089,-84.0721,4.9
287,-13.3986,-68.1794,5.0
288,129.4124,-73.3356,5.0
289,83.0875,-78.3421,4.9
290,152.6689,-77.9682,5.0
291,79.8580,-68.9929,4.9
292,66.5427,-56.6455,5.0
293,-75.2910,-72.7875,4.9
294,125.6755,-72.4383,5.0
295,128.6703,-80.4562,5.0
296,29.6152,-56.8447,5.0
297,108.3147,-86.0821,5.0
298,68.7325,-79.0399,5.0
299,57.6609,-51.6498,5.0
300,54.3411,-76.8517,4.9
